question,transformed_solution,wrong_step,error_type,description,is_single_error,notes
"Gieo một đồng xu hai lần liên tiếp, ta có không gian mẫu là:
A. {S; N}.
B. {SS; NN}.
C. {SS; SN; NS; NN}.
D. {S; N; SN}.",Gieo một đồng xu hai lần liên tiếp. Các kết quả có thể xảy ra là cả hai lần đều sấp hoặc cả hai lần đều ngửa. Vậy không gian mẫu là {SS; NN}.,1,CO,Incorrectly listed the possible outcomes by omitting the mixed results (SN and NS). The student only considered cases where the outcomes of the two tosses are the same.,true,"This is a frequent mistake where students fail to consider all possible combinations, especially those where the outcomes are different."
"Gieo một đồng xu hai lần liên tiếp, ta có không gian mẫu là:
A. {S; N}.
B. {SS; NN}.
C. {SS; SN; NS; NN}.
D. {S; N; SN}.",Gieo một đồng xu hai lần liên tiếp. Không gian mẫu là {SS; NN; SN; NS; SS}.,1,CAL,"Made a clerical error by repeating an element (SS) in the sample space. While the student identified all correct outcomes, the final set is technically incorrect due to the duplication.",true,"This represents a common mistake of carelessness, where the concept is understood but the execution is flawed."
"Gieo một đồng xu hai lần liên tiếp, ta có không gian mẫu là:
A. {S; N}.
B. {SS; NN}.
C. {SS; SN; NS; NN}.
D. {S; N; SN}.",Gieo một đồng xu hai lần liên tiếp. Không gian mẫu là {S; N; SS; NN; SN; NS}.,1,HA,"Incorrectly constructed the sample space by including outcomes for both a single toss ({S, N}) and a double toss ({SS, NN, SN, NS}).",true,"This error demonstrates confusion, where the student includes all possible outcomes they can think of without correctly defining the boundaries of the experiment's sample space."
"Trong mặt phẳng với hệ trục tọa độ Oxy, tọa độ tâm I và bán kính R của đường tròn (C) : $(x-2)^2 + (y+3)^2 = 9$ là:
A. I(-2; 3); R = 3.
B. I(2; -3); R = 3.
C. I(-2; 3); R = 9.
D. I(2; -3); R = 9.","Phương trình đường tròn có dạng (x-a)^2 + (y-b)^2 = R^2. So sánh với (x-2)^2 + (y+3)^2 = 9, ta có a = -2, b = 3, R^2 = 9 => R = 3. Vậy tâm I(-2; 3) và bán kính R = 3.",2,OP,Incorrectly determined the coordinates of the center. The student likely took the numbers directly from the equation (-2 and 3) without inverting the signs as required by the formula (x-a) and (y-b).,true,This is a very common sign error when identifying the center of a circle from its standard equation.
"Trong mặt phẳng với hệ trục tọa độ Oxy, tọa độ tâm I và bán kính R của đường tròn (C) : $(x-2)^2 + (y+3)^2 = 9$ là:
A. I(-2; 3); R = 3.
B. I(2; -3); R = 3.
C. I(-2; 3); R = 9.
D. I(2; -3); R = 9.","Phương trình đường tròn có dạng (x-a)^2 + (y-b)^2 = R^2. So sánh với (x-2)^2 + (y+3)^2 = 9, ta có a = 2, b = 3, R^2 = 9 => R = 3. Vậy tâm I(2; 3) và bán kính R = 3.",2,OP,"Incorrectly identified the y-coordinate of the center. While correctly identifying 'a' as 2, the student failed to invert the sign for the y-coordinate, taking 'b' as 3 instead of -3.",true,"This demonstrates a partial sign error, another frequent mistake."
"Trong mặt phẳng với hệ trục tọa độ Oxy, tọa độ tâm I và bán kính R của đường tròn (C) : $(x-2)^2 + (y+3)^2 = 9$ là:
A. I(-2; 3); R = 3.
B. I(2; -3); R = 3.
C. I(-2; 3); R = 9.
D. I(2; -3); R = 9.","Phương trình đường tròn có dạng (x-a)^2 + (y-b)^2 = R^2. So sánh với (x-2)^2 + (y+3)^2 = 9, ta có tâm I(2; -3) và bán kính R = 9.",2,CV,"Incorrectly determined the radius. The student identified the constant term 9 as the radius R, instead of R-squared, failing to take the square root.",true,Confusing R with R^2 is one of the most common errors for this type of problem.
"Một tổ có 10 học sinh. Số cách chọn ra 2 học sinh từ tổ đó để làm tổ trưởng và tổ phó là:
A. $A_{10}^2$.
B. $A_{10}^1$.
C. $C_{10}^2$.
D. $10^2$.","Vì cần chọn 2 học sinh từ 10 học sinh, không quan trọng thứ tự nên ta dùng tổ hợp. Số cách chọn là C(10,2) = 10!/(2!8!) = (10*9)/2 = 45.",1,MIS,"Misinterprets the question. The problem requires selecting a leader and a deputy, implying order matters, thus it's a permutation, not a combination.",true,The student incorrectly assumes order doesn't matter.
"Gieo một con xúc sắc cân đối hai lần liên tiếp. Xác suất của biến cố: ""Số chấm xuất hiện ở hai lần gieo như nhau"" bằng:
A. $\frac{35}{36}$.
B. $\frac{1}{36}$.
C. $\frac{5}{36}$.
D. $\frac{5}{6}$.","Có 6 khả năng cho lần gieo đầu tiên và 6 khả năng cho lần gieo thứ hai, tổng cộng 12 khả năng. Các khả năng để số chấm giống nhau là (1,1), (2,2), (3,3), (4,4), (5,5), (6,6). Vậy xác suất là 6/12 = 1/2.",1,CO,Incorrectly calculates the total number of possible outcomes as 12 instead of 36 (6 * 6).,true,The student fails to recognize the independence of the two dice rolls and incorrectly calculates the sample space.
"Gieo một con xúc sắc cân đối hai lần liên tiếp. Xác suất của biến cố: ""Số chấm xuất hiện ở hai lần gieo như nhau"" bằng:
A. $\frac{35}{36}$.
B. $\frac{1}{36}$.
C. $\frac{5}{36}$.
D. $\frac{5}{6}$.","Xác suất để số chấm xuất hiện ở hai lần gieo như nhau là 1/36. Vì có 36 kết quả có thể xảy ra, và chỉ có một kết quả là số chấm giống nhau.",2,CO,"Incorrectly states there is only one outcome where the numbers are the same. There are six: (1,1), (2,2), etc.",true,The student miscounts the favorable outcomes.
"Gieo một con xúc sắc cân đối hai lần liên tiếp. Xác suất của biến cố: ""Số chấm xuất hiện ở hai lần gieo như nhau"" bằng:
A. $\frac{35}{36}$.
B. $\frac{1}{36}$.
C. $\frac{5}{36}$.
D. $\frac{5}{6}$.","Xác suất để số chấm xuất hiện ở hai lần gieo như nhau là 1/6. Vì mỗi lần gieo xúc xắc có 6 mặt, nên xác suất để hai lần gieo ra cùng một số là 1/6.",2,REAS,"Incorrectly assumes that the probability of the second roll matching the first is simply 1/6, without considering the first roll's outcome.",true,The student doesn't account for the independence of the events.
"Gieo một con xúc sắc cân đối hai lần liên tiếp. Xác suất của biến cố: ""Số chấm xuất hiện ở hai lần gieo như nhau"" bằng:
A. $\frac{35}{36}$.
B. $\frac{1}{36}$.
C. $\frac{5}{36}$.
D. $\frac{5}{6}$.",Xác suất để số chấm xuất hiện ở hai lần gieo như nhau là 1/2. Vì số chấm chẵn và số chấm lẻ có xác suất bằng nhau.,1,REAS,Incorrectly relates the probability to even and odd numbers. This is irrelevant to the question of matching numbers.,true,The student introduces an irrelevant concept (even/odd) and attempts to apply it to the problem.
"Trong mặt phẳng tọa độ Oxy, phương trình tiếp tuyến với đường tròn (C) : $x^2 + y^2 = 4$ tại điểm M(2; 0) là:
A. x - 2 = 0.
B. y - 4 = 0.
C. y - 2 = 0.
D. x + y - 2 = 0.","Đường tròn (C): x^2 + y^2 = 4. M(2; 0). Tiếp tuyến có dạng y = kx + b. Thay M vào: 0 = 2k + b => b = -2k. Vậy phương trình tiếp tuyến là y = kx - 2k. Chọn k = 1, ta có y = x - 2.",2,MIS,"Incorrectly assumed the tangent has the form y = kx + b. This is a valid line equation, but doesn't guarantee it's the tangent to the circle.",true,The student didn't use the geometric property of the tangent being perpendicular to the radius at the point of tangency.
"Trong mặt phẳng tọa độ Oxy, phương trình tiếp tuyến với đường tròn (C) : $x^2 + y^2 = 4$ tại điểm M(2; 0) là:
A. x - 2 = 0.
B. y - 4 = 0.
C. y - 2 = 0.
D. x + y - 2 = 0.",Đường tròn (C): x^2 + y^2 = 4. M(2; 0). Hệ số góc của OM là 0. Vậy phương trình tiếp tuyến là y = 0.,3,REAS,"Incorrectly concluded that the tangent is y=0. While OM is horizontal, the tangent is perpendicular to OM at M, so it's a vertical line.",true,The student failed to correctly apply the perpendicularity relationship between the radius and the tangent.
"Trong mặt phẳng tọa độ Oxy, phương trình tiếp tuyến với đường tròn (C) : $x^2 + y^2 = 4$ tại điểm M(2; 0) là:
A. x - 2 = 0.
B. y - 4 = 0.
C. y - 2 = 0.
D. x + y - 2 = 0.","Đường tròn (C): x^2 + y^2 = 4. M(2; 0). Tiếp tuyến có hệ số góc k. Phương trình: y - 0 = k(x - 2) => y = kx - 2k. Vì tiếp tuyến vuông góc với bán kính, k = 0. Vậy y = 0.",3,REAS,"Incorrectly assumed k=0 because the tangent is perpendicular to the radius. The radius OM has slope 0, so the tangent must be vertical, meaning it has an undefined slope, not 0.",true,Misunderstanding of the relationship between the slope of the radius and the tangent.
"Trong mặt phẳng tọa độ Oxy, phương trình tiếp tuyến với đường tròn (C) : $x^2 + y^2 = 4$ tại điểm M(2; 0) là:
A. x - 2 = 0.
B. y - 4 = 0.
C. y - 2 = 0.
D. x + y - 2 = 0.",Đường tròn (C): x^2 + y^2 = 4. M(2; 0). Phương trình tiếp tuyến là x^2 + y^2 - 4 = 0. Thay M vào: 4 + 0 - 4 = 0. Vậy phương trình đúng.,2,MIS,"The student simply restated the equation of the circle and verified that the point lies on it, which doesn't determine the tangent line.",true,The student didn't understand the task of finding the tangent line.
"Trên giá sách có 10 cuốn tiểu thuyết, 8 quyển truyện ngắn và 2 cuốn hồi kí. Một bạn chọn ra 3 quyển để đọc.
a) Xác suất của biến cố ""Ba quyển được chọn đều là tiểu thuyết"" bằng $\frac{3}{20}$.
b) Xác suất của biến cố: ""Ba quyển được chọn thuộc ba thể loại khác nhau"" bằng $\frac{8}{57}$.
c) Xác suất của biến cố: ""Ba quyển được chọn thuộc cùng một thể loại"" bằng $\frac{68}{95}$.
d) Xác suất của biến cố: ""Ít nhất một quyển hồi kí được chọn"" bằng $\frac{46}{57}$.","b) Số cách chọn 3 quyển thuộc ba thể loại khác nhau là C(10,1) + C(8,1) + C(2,1) = 10 + 8 + 2 = 20. Tổng số cách chọn 3 cuốn là C(20,3) = 1140. Xác suất là 20/1140 = 1/57.",1,FC,Incorrectly applying the combination formula. The student added the number of choices for each category instead of multiplying them.,true,The student confused addition with multiplication when calculating the number of ways to choose one book from each category.
"Trên giá sách có 10 cuốn tiểu thuyết, 8 quyển truyện ngắn và 2 cuốn hồi kí. Một bạn chọn ra 3 quyển để đọc.
a) Xác suất của biến cố ""Ba quyển được chọn đều là tiểu thuyết"" bằng $\frac{3}{20}$.
b) Xác suất của biến cố: ""Ba quyển được chọn thuộc ba thể loại khác nhau"" bằng $\frac{8}{57}$.
c) Xác suất của biến cố: ""Ba quyển được chọn thuộc cùng một thể loại"" bằng $\frac{68}{95}$.
d) Xác suất của biến cố: ""Ít nhất một quyển hồi kí được chọn"" bằng $\frac{46}{57}$.","a) Số cách chọn 3 cuốn tiểu thuyết là C(10,3) = 120. Tổng số cách chọn 3 cuốn là C(20,3) = 1140. Xác suất là 120/20 = 6.",3,CAL,Incorrect denominator. The student divided by 20 instead of 1140.,true,"The incorrect denominator leads to a probability greater than 1, which is impossible."
"Cho nhị thức $(3x-2)^5$.
a) Số hạng chứa $x^3$ trong khai triển Newton của nhị thức trên là 243x³.
b) Hệ số của số hạng chứa $x^4$ trong khai triển Newton của nhị thức trên là –720.
c) Số hạng không chứa x trong khai triển Newton của nhị thức trên là –32.
d) Tổng các hệ số trong khai triển Newton của nhị thức bằng 1.",d) Tổng các hệ số trong khai triển Newton của $(3x-2)^5$ bằng cách thay x = 0 vào biểu thức. Vậy $(3*0 - 2)^5 = (-2)^5 = -32$.,1,KNOW,"Incorrect method to find the sum of coefficients. The student should substitute x = 1, but they substituted x = 0, which is the method to find the constant term.",true,Conceptual error in applying the wrong method.
"Cho nhị thức $(3x-2)^5$.
a) Số hạng chứa $x^3$ trong khai triển Newton của nhị thức trên là 243x³.
b) Hệ số của số hạng chứa $x^4$ trong khai triển Newton của nhị thức trên là –720.
c) Số hạng không chứa x trong khai triển Newton của nhị thức trên là –32.
d) Tổng các hệ số trong khai triển Newton của nhị thức bằng 1.","d) Tổng các hệ số trong khai triển Newton của $(3x-2)^5$ là 1 vì theo định lý nhị thức, tổng các hệ số luôn bằng 1.",1,KNOW,"Incorrect understanding of how to find the sum of coefficients. It's found by setting x=1, not assuming it's always 1. The student is incorrectly recalling or overgeneralizing a theorem.",true,"Incorrect concept application. The answer happens to be correct for this specific binomial, but the reasoning is flawed."
"Cho nhị thức $(3x-2)^5$.
a) Số hạng chứa $x^3$ trong khai triển Newton của nhị thức trên là 243x³.
b) Hệ số của số hạng chứa $x^4$ trong khai triển Newton của nhị thức trên là –720.
c) Số hạng không chứa x trong khai triển Newton của nhị thức trên là –32.
d) Tổng các hệ số trong khai triển Newton của nhị thức bằng 1.",b) Hệ số của số hạng chứa $x^4$ trong khai triển Newton của $(3x-2)^5$ là $C^5_4 (3x)^4 (-2)^1 = 5 * 81x^4 * (-2) = -162x^4$. Vậy hệ số là -162.,1,CAL,Incorrect calculation: 5 * 81 * (-2) = -162 instead of -810. The student may have performed 2*81 and ignored the factor of 5.,true,Arithmetic error.
"Trong mặt phẳng Oxy, cho hai điểm A(3; –3); B(–3; –1), đường thẳng d : 4x – 3y – 2 = 0 và đường thẳng Δ: 2x + 3y + 12 = 0.
a) Đường thẳng đi qua điểm A và vuông góc với đường thẳng d có phương trình 4x + 3y – 3 = 0.
b) Đường tròn đường kính AB có phương trình $(x-1)^2 + (y+4)^2 = 20$.
c) Đường tròn tâm B tiếp xúc với đường thẳng d có phương trình $(x+1)^2 + (y+5)^2 = \frac{81}{25}$.
d) Có 2 phương trình tiếp tuyến của đường tròn đường kính AB song song với đường thẳng Δ.",a) Đường thẳng d có hệ số góc m = 4/3. Đường thẳng vuông góc với d có hệ số góc m' = -3/4. Phương trình đường thẳng đi qua A(3; -3) và có hệ số góc -3/4 là: y + 3 = -3/4(x - 3) => 4y + 12 = -3x + 9 => 3x + 4y - 3 = 0.,3,OP,"Incorrect sign in the final equation. Should be +3, but written as -3.",true,"Simple sign error when rearranging constants: 12 - 9 = 3, but the student wrote -3."
"Trong mặt phẳng Oxy, cho hai điểm A(3; –3); B(–3; –1), đường thẳng d : 4x – 3y – 2 = 0 và đường thẳng Δ: 2x + 3y + 12 = 0.
a) Đường thẳng đi qua điểm A và vuông góc với đường thẳng d có phương trình 4x + 3y – 3 = 0.
b) Đường tròn đường kính AB có phương trình $(x-1)^2 + (y+4)^2 = 20$.
c) Đường tròn tâm B tiếp xúc với đường thẳng d có phương trình $(x+1)^2 + (y+5)^2 = \frac{81}{25}$.
d) Có 2 phương trình tiếp tuyến của đường tròn đường kính AB song song với đường thẳng Δ.",b) Tâm của đường tròn là trung điểm I của AB: I((3-3)/2; (-3-1)/2) = (0; -2). Bán kính R = AB/2 = sqrt((3+3)^2 + (-3+1)^2)/2 = sqrt(36+4)/2 = sqrt(40)/2 = 2. Phương trình đường tròn là (x-0)^2 + (y+2)^2 = 4 => x^2 + (y+2)^2 = 4.,2,CAL,Incorrect calculation of the radius. sqrt(40)/2 is not equal to 2. It should be sqrt(10).,true,Arithmetic error in simplifying the square root.
"Trong mặt phẳng Oxy, cho hai điểm A(3; –3); B(–3; –1), đường thẳng d : 4x – 3y – 2 = 0 và đường thẳng Δ: 2x + 3y + 12 = 0.
a) Đường thẳng đi qua điểm A và vuông góc với đường thẳng d có phương trình 4x + 3y – 3 = 0.
b) Đường tròn đường kính AB có phương trình $(x-1)^2 + (y+4)^2 = 20$.
c) Đường tròn tâm B tiếp xúc với đường thẳng d có phương trình $(x+1)^2 + (y+5)^2 = \frac{81}{25}$.
d) Có 2 phương trình tiếp tuyến của đường tròn đường kính AB song song với đường thẳng Δ.",d) Có 3 phương trình tiếp tuyến của đường tròn đường kính AB song song với đường thẳng Δ.,1,CO,"Incorrect counting of the number of tangent lines. There are 2, not 3.",true,Simple counting mistake.
